id_cliente,probabilidade_inadimplencia,faixa_risco,decisao_sugerida,motivo_principal
100023,0.0023526090240117135,verde,aprovar_automatico,PD baixa
100031,0.003113478202596924,amarela,aprovar_com_ajuste,cold-start: aprovar com limite reduzido
100056,0.005946181575192087,amarela,aprovar_com_ajuste,PD intermediaria
100069,0.0020225182581183622,verde,aprovar_automatico,PD baixa
100085,0.0021019385171715077,verde,aprovar_automatico,PD baixa
100098,0.008944526481026834,amarela,aprovar_com_ajuste,PD intermediaria
100104,0.003629249830618121,verde,aprovar_automatico,PD baixa
100111,0.003414449729362112,verde,aprovar_automatico,PD baixa
100123,0.0017466380667680108,verde,aprovar_automatico,PD baixa
100165,0.001772769636969988,verde,aprovar_automatico,PD baixa
100178,0.0019370809824765657,verde,aprovar_automatico,PD baixa
100193,0.002486639522441939,verde,aprovar_automatico,PD baixa
100200,0.0015847198633412965,verde,aprovar_automatico,PD baixa
100208,0.0019496555085366026,verde,aprovar_automatico,PD baixa
100219,0.0020715391553463173,verde,aprovar_automatico,PD baixa
100233,0.0014417563912050829,verde,aprovar_automatico,PD baixa
100237,0.0032548399261078057,verde,aprovar_automatico,PD baixa
100258,0.0030324827097466056,verde,aprovar_automatico,PD baixa
100265,0.0025231372657241167,verde,aprovar_automatico,PD baixa
100266,0.004460562379661661,verde,aprovar_automatico,PD baixa
100276,0.0037362583093805504,verde,aprovar_automatico,PD baixa
100281,0.0016705199140598353,verde,aprovar_automatico,PD baixa
100298,0.0024803370754186184,verde,aprovar_automatico,PD baixa
100301,0.0034030617896082327,verde,aprovar_automatico,PD baixa
100307,0.003671605321278499,verde,aprovar_automatico,PD baixa
100317,0.0015429115648380514,verde,aprovar_automatico,PD baixa
100318,0.005685283061870631,amarela,aprovar_com_ajuste,PD intermediaria
100332,0.002372877191687391,verde,aprovar_automatico,PD baixa
100341,0.002366417198250064,verde,aprovar_automatico,PD baixa
100342,0.003116369445873203,verde,aprovar_automatico,PD baixa
100353,0.0030494810535292675,verde,aprovar_automatico,PD baixa
100374,0.009031668736979517,amarela,aprovar_com_ajuste,PD intermediaria
100403,0.002577684508513765,verde,aprovar_automatico,PD baixa
100406,0.004473922182616018,verde,aprovar_automatico,PD baixa
100410,0.00376679245952393,verde,aprovar_automatico,PD baixa
100414,0.00513655369548951,verde,aprovar_automatico,PD baixa
100418,0.0027748813237015906,verde,aprovar_automatico,PD baixa
100437,0.002301813654845395,verde,aprovar_automatico,PD baixa
100449,0.002634450287567403,verde,aprovar_automatico,PD baixa
100458,0.004512367664347362,verde,aprovar_automatico,PD baixa
100459,0.013725852639597226,laranja,analise_manual,"PD alta, comportamento limitrofe"
100462,0.005120833082755892,verde,aprovar_automatico,PD baixa
100471,0.002602781983272439,verde,aprovar_automatico,PD baixa
100493,0.0019161714959230547,verde,aprovar_automatico,PD baixa
100498,0.00167461970913648,verde,aprovar_automatico,PD baixa
100505,0.0019333829872121438,verde,aprovar_automatico,PD baixa
100521,0.0061082456501121,amarela,aprovar_com_ajuste,PD intermediaria
100525,0.007836016143995908,amarela,aprovar_com_ajuste,PD intermediaria
100562,0.004354597105815163,verde,aprovar_automatico,PD baixa
100565,0.003453568236696776,verde,aprovar_automatico,PD baixa
100567,0.012945239020759728,laranja,analise_manual,"PD alta, comportamento limitrofe"
100597,0.0024388327627641493,verde,aprovar_automatico,PD baixa
100628,0.0054817632141724625,amarela,aprovar_com_ajuste,cold-start: aprovar com limite reduzido
100654,0.0058553503108414,amarela,aprovar_com_ajuste,PD intermediaria
100657,0.004244097425461374,amarela,aprovar_com_ajuste,cold-start: aprovar com limite reduzido
100675,0.004922835072187329,verde,aprovar_automatico,PD baixa
100678,0.005797366211618312,amarela,aprovar_com_ajuste,PD intermediaria
100685,0.0033756684177796478,verde,aprovar_automatico,PD baixa
100693,0.0028123835655050533,verde,aprovar_automatico,PD baixa
100712,0.0039742847143373825,verde,aprovar_automatico,PD baixa
100736,0.003263844227510388,verde,aprovar_automatico,PD baixa
100746,0.00910391244024737,amarela,aprovar_com_ajuste,PD intermediaria
100759,0.002033661463223279,verde,aprovar_automatico,PD baixa
100783,0.008498310161150963,amarela,aprovar_com_ajuste,PD intermediaria
100785,0.0025490505352363194,verde,aprovar_automatico,PD baixa
100806,0.005011715309322698,verde,aprovar_automatico,PD baixa
100813,0.0015302712802196395,verde,aprovar_automatico,PD baixa
100815,0.0021839131610000987,verde,aprovar_automatico,PD baixa
100824,0.008463276864600949,amarela,aprovar_com_ajuste,PD intermediaria
100827,0.004942112796250608,verde,aprovar_automatico,PD baixa
100828,0.005218783916159021,verde,aprovar_automatico,PD baixa
